550 540 501 RESULTS 0LEP 0 0 0 RESULTS 1LEP 2 4 16 1 0 140 0 0 RESULTS 2LEP 4 1 1 0 3 0 0 0 RESULTS 2B 11 19 4 3 1 0 0
600 590 1 RESULTS 0LEP 33 26 21 RESULTS 1LEP 16 46 974 47 37 2726 50 29 RESULTS 2LEP 203 34 74 67 29 11 17 17 RESULTS 2B 34 62 27 21 17 14 11
600 590 51 RESULTS 0LEP 32 23 19 RESULTS 1LEP 18 42 998 43 31 2722 52 33 RESULTS 2LEP 209 36 85 80 22 8 11 9 RESULTS 2B 31 56 21 15 12 10 9
600 590 101 RESULTS 0LEP 38 32 28 RESULTS 1LEP 30 42 992 61 38 2745 55 33 RESULTS 2LEP 220 33 91 83 29 10 12 11 RESULTS 2B 40 66 34 27 20 19 14
600 590 151 RESULTS 0LEP 28 21 18 RESULTS 1LEP 22 34 996 55 34 2707 51 28 RESULTS 2LEP 210 28 70 64 22 7 11 11 RESULTS 2B 33 51 23 17 15 12 9
600 590 201 RESULTS 0LEP 23 16 14 RESULTS 1LEP 22 42 954 37 32 2572 54 24 RESULTS 2LEP 190 27 67 60 29 11 19 18 RESULTS 2B 32 65 24 20 15 11 9
600 590 251 RESULTS 0LEP 27 20 16 RESULTS 1LEP 34 66 906 31 15 2356 51 22 RESULTS 2LEP 186 20 60 54 14 5 4 3 RESULTS 2B 28 56 24 17 13 7 3
600 590 301 RESULTS 0LEP 19 10 4 RESULTS 1LEP 42 74 938 27 23 2240 44 22 RESULTS 2LEP 164 22 65 61 18 5 5 4 RESULTS 2B 28 53 18 13 11 5 2
600 590 351 RESULTS 0LEP 28 16 12 RESULTS 1LEP 64 70 878 32 14 2035 43 24 RESULTS 2LEP 147 23 55 47 19 9 11 10 RESULTS 2B 23 31 17 13 5 3 1
600 590 401 RESULTS 0LEP 14 6 2 RESULTS 1LEP 112 100 598 11 2 1567 21 10 RESULTS 2LEP 114 16 30 25 13 2 5 4 RESULTS 2B 22 24 14 5 2 0 0
600 590 451 RESULTS 0LEP 6 2 1 RESULTS 1LEP 80 112 404 3 0 1021 8 5 RESULTS 2LEP 79 6 13 11 16 6 9 6 RESULTS 2B 24 11 9 3 2 2 0
600 590 501 RESULTS 0LEP 0 0 0 RESULTS 1LEP 28 34 116 0 0 442 2 0 RESULTS 2LEP 32 5 8 3 6 3 3 0 RESULTS 2B 12 14 4 1 1 0 0
650 640 1 RESULTS 0LEP 15 13 13 RESULTS 1LEP 32 50 840 35 21 2736 46 32 RESULTS 2LEP 235 35 86 81 23 5 9 8 RESULTS 2B 31 73 29 27 23 16 15
650 640 51 RESULTS 0LEP 23 23 19 RESULTS 1LEP 24 20 1052 52 29 2802 58 38 RESULTS 2LEP 220 38 85 79 20 8 11 10 RESULTS 2B 38 61 30 25 16 15 12
650 640 101 RESULTS 0LEP 31 24 20 RESULTS 1LEP 26 42 930 46 37 2848 57 38 RESULTS 2LEP 220 38 84 77 28 9 15 14 RESULTS 2B 28 67 26 23 21 19 15
650 640 151 RESULTS 0LEP 38 28 23 RESULTS 1LEP 32 40 924 51 34 2751 51 27 RESULTS 2LEP 197 31 85 78 17 5 8 6 RESULTS 2B 23 68 19 16 12 9 6
650 640 201 RESULTS 0LEP 23 21 20 RESULTS 1LEP 24 28 974 48 35 2750 47 33 RESULTS 2LEP 238 40 94 91 34 10 20 18 RESULTS 2B 23 65 20 16 11 7 5
650 640 251 RESULTS 0LEP 26 21 17 RESULTS 1LEP 34 50 1016 45 27 2654 59 33 RESULTS 2LEP 207 34 79 72 22 7 14 12 RESULTS 2B 32 48 24 22 14 11 6
650 640 301 RESULTS 0LEP 31 25 20 RESULTS 1LEP 30 38 970 47 23 2540 46 28 RESULTS 2LEP 191 25 59 54 28 7 10 9 RESULTS 2B 28 51 17 13 11 4 1
650 640 351 RESULTS 0LEP 30 22 16 RESULTS 1LEP 34 72 948 45 26 2314 49 26 RESULTS 2LEP 175 23 61 52 21 6 10 8 RESULTS 2B 23 44 16 12 4 2 2
650 640 401 RESULTS 0LEP 26 17 12 RESULTS 1LEP 54 104 852 24 12 2089 23 11 RESULTS 2LEP 161 28 61 52 28 14 18 15 RESULTS 2B 30 43 17 12 11 5 1
650 640 451 RESULTS 0LEP 21 13 4 RESULTS 1LEP 60 112 728 19 8 1725 30 13 RESULTS 2LEP 138 21 47 38 19 10 8 7 RESULTS 2B 22 30 10 6 4 0 0
650 640 501 RESULTS 0LEP 6 2 2 RESULTS 1LEP 88 112 396 4 4 987 5 2 RESULTS 2LEP 83 15 29 21 17 4 8 5 RESULTS 2B 18 19 6 1 1 1 0
